Date ,Transmitted From RTU to FMS,(FMS)Transmitted to backup server,Total Report Requested Count,Reports Generated of same day ,"Reports generated for previous day, F= (G-E)",Total Report Issued Count,CLOT Reports Generated of previous day ,CLOT reports generated on same day,"Total Report Issued Count, J= (H+I)"
02-01-2023,78536,76501,1410,,,1372,,,0
03-01-2023,56374,54873,1626,,,1635,,,0
04-01-2023,59339,58319,1505,,,1496,,,0
05-01-2023,63833,61840,1510,,,1507,,,0
06-01-2023,70852,69199,1613,,,1601,,,0
07-01-2023,67599,65634,1507,,,1505,,,0
08-01-2023,25932,25060,1348,,,1350,,,0
09-01-2023,71766,69819,1359,,,1344,,,0
10-01-2023,62241,59672,1712,,,1706,,,0
11-01-2023,68645,66650,1575,,,1575,,,0
12-01-2023,75481,71976,1840,,,1805,,,0
13-01-2023,72612,71183,2040,,,2022,,,0
14-01-2023,59244,59244,1700,,,1600,,,0
15-01-2023,25165,24320,776,,,847,,,0
16-01-2023,69380,66930,1378,,,1368,,,0
17-01-2023,74506,72465,1648,,,1636,,,0
18-01-2023,81950,81950,1709,,,1707,,,0
19-01-2023,77573,74829,1525,,,1514,,,0
20-01-2023,74116,72184,1702,,,1673,,,0
21-01-2023,73506,72060,1700,,,1692,,,0
22-01-2023,39490,38914,1082,,,1088,,,0
23-01-2023,81717,80010,321,,,321,,,0
24-01-2023,86089,85163,1387,,,1369,,,0
25-01-2023,90368,89198,2210,,,2178,,,0
26-01-2023,51086,50330,832,,,831,,,0
27-01-2023,77502,76914,746,251,493,744,,,0
28-01-2023,83316,81688,2160,357,1797,2154,,,0
29-01-2023,43928,43460,1398,20,1382,1402,,,0
30-01-2023,80638,78848,1948,96,1855,1951,,,0
31-01-2023,82843,81696,3349,1476,1866,3342,,,0
01-02-2023,92297,94913,2356,1663,676,2339,,,0
02-02-2023,95101,93133,2896,1715,1067,2782,,,0
03-02-2023,100039,97148,3096,2014,1136,3150,,,0
04-02-2023,84751,83291,2506,1822,731,2553,,,0
05-02-2023,51590,50671,1979,482,1500,1982,,,0
06-02-2023,79591,78125,2108,884,1217,2101,,,0
07-02-2023,85284,84144,2581,842,1729,2571,,,0
08-02-2023,96711,95422,2229,1144,1072,2216,,,0
